ci_tenant_dmn.m_orgnztn_guid,ci_tenant_dmn.m_org_nm,ci_tenant_dmn.m_org_ci_tenant_id,ci_tenant_dmn.m_org_original_id,ci_tenant_dmn.dw_insert_datetime,ci_tenant_dmn.is_active,ci_tenant_dmn.tenant_type
c782d4a8-7019-4a87-b372-7f65940818bd,Oxford University Press,100115,0013r00002Kh1qmAAB,2021-03-03 22:41:42.0,Y,Intelligence
ff276e12-6a14-4897-a5e9-fb1810206378,"TurnTo Networks, Inc.",17019,0010Z000023mbGtQAI,2021-03-03 22:41:42.0,N,Enterprise
fb90d7ca-9ada-4208-a01e-6c694d76dfe4,Wiztopic,100086,0010Z00002AH8sMQAT,2021-03-03 22:41:42.0,Y,Intelligence
14886d5b-9d94-4952-9a2a-d8f83ae48fa6,Berry Network,100116,0013r00002Kh7UvAAJ,2021-03-03 22:41:42.0,Y,Intelligence
aecd4593-3dbd-42a4-a926-d839286043ff,Not provided,100045,0010Z000025tGCXQA2,2021-03-03 22:41:42.0,N,Intelligence
039a6836-7c5e-4240-8ecf-aa3a8e987305,Out-Law,100081,0010Z00002AEyUmQAL,2021-03-03 22:41:42.0,Y,Intelligence
9bdea26f-2c5f-4100-86c3-319496cd33bc,"StayTuned Digital, Inc.",100083,0010Z00002AEzKiQAL,2021-03-03 22:41:42.0,Y,Intelligence
a007ba11-e62e-485a-baf2-ffd7b2bf8000,Collective Intelligence,100109,0013r00002IbYjaAAF,2021-03-03 22:41:42.0,Y,Intelligence
2d5b3183-7b97-4e94-9716-c7b55e6c9c99,,100031,NULL,2021-03-03 22:41:42.0,Y,Self
77f943ab-c459-47ce-837e-3e095e63e015,Not provided,100026,0010Z000023ncJjQAI,2021-03-03 22:41:42.0,Y,Intelligence
9f58af33-6bdf-45ea-be41-9f601a665a41,Doqumi Holdings Pty Ltd,100025,0010Z000023nNj8QAE,2021-03-03 22:41:42.0,Y,Intelligence
f962675a-6d93-4265-a083-d419ab7ffeef,Not provided,100043,0010Z000025eg6LQAQ,2021-03-03 22:41:42.0,Y,Intelligence
5e96847f-f5b3-46f6-b00f-eeda379ee1aa,Impact,100094,0010Z00002CypUFQAZ,2021-03-03 22:41:42.0,Y,Intelligence
53788198-1886-43d1-be2f-7a466d1483c3,Collective Intelligence,100065,0010Z000029G1v8QAC,2021-03-03 22:41:42.0,Y,Intelligence
716ede69-c490-49e8-9766-170837557215,Not provided,100042,0010Z000025eTlKQAU,2021-03-03 22:41:42.0,Y,Intelligence
dfa1466b-1d1a-48a5-a4ee-fe243d41446a,AccuWeather,100073,0010Z000029ZuDDQA0,2021-03-03 22:41:42.0,Y,Intelligence
48d34625-f50a-48f6-94f5-48666e5a0ed4,Collective Intelligence,100082,0010Z00002AEz5mQAD,2021-03-03 22:41:42.0,Y,Intelligence
585dfbea-2ead-4f35-a63c-d667f16aab87,MassPay,100107,0013r00002Esc9xAAB,2021-03-03 22:41:42.0,N,Self
18e006e7-0441-4dca-b9f0-dfc35b4ae84c,WEX,100131,0013r00002ToayLAAR,2021-03-03 22:41:42.0,Y,Intelligence
d230a6ef-264b-435e-84c7-b689d47ee359,Collective[i],100111,9010Z00001wtzTSQAY,2021-03-03 22:41:42.0,Y,Self
038a3c44-1d2a-4123-b0ce-071ee1ebc8fd,Atheneum,17051,0010Z00002CGaAzQAL,2021-03-03 22:41:42.0,Y,Enterprise
72cfffca-bd88-4a06-a25b-d53d543e285c,Collective Intelligence,100041,0010Z000025cjsjQAA,2021-03-03 22:41:42.0,Y,Intelligence
05a444d5-ccdf-4d7a-8e65-2fe5014a1cf8,Hive,17020,0010Z000023nccQQAQ,2021-03-03 22:41:42.0,N,Enterprise
799c702a-a573-47f2-8ea6-07add020f45a,Collective Intelligence,100024,0010Z000023YdGxQAK,2021-03-03 22:41:42.0,Y,Intelligence
1146117b-1f05-447f-adf1-f8a878fceb48,RealPage Inc,100012,0010Z000020JV20QAG,2021-03-03 22:41:42.0,N,Self
866326f7-5f7d-45b5-ace2-b941a4799df7,,100056,NULL,2021-03-03 22:41:42.0,Y,Self
e7e50be6-8059-49b4-81ef-4b7fb3e003d1,Upsider,100001,0010Z00001xqW4SQAU,2021-03-03 22:41:42.0,N,Self
9a9023a8-17ea-48d2-b720-d3d5c54d71ad,SID Enterprises,100069,0010Z000029CAEaQAO,2021-03-03 22:41:42.0,Y,Intelligence
2326f6be-4d50-4f53-8708-b53c05d7a4a1,Not provided,100135,0013r00002XIMSMAA5,2021-03-03 22:41:42.0,Y,Intelligence
970da21f-7237-43c6-a99a-49bd7c219b13,DemandJump,100046,0010Z000025wHLvQAM,2021-03-03 22:41:42.0,Y,Intelligence
fe938bbe-858f-4cad-a181-7bc7b2e5a8b2,Acceleration,100015,001i000001BdLs9AAF,2021-03-03 22:41:42.0,N,Self
c0812c24-7a07-41cf-a6e0-40d979d1caef,Totango,16006,0013100001je6qKAAQ,2021-03-03 22:41:42.0,Y,Enterprise
fe297d1c-56f0-4eb8-b224-d6dc0502555b,"Prevedere, Inc.",17039,0010Z000029o8aKQAQ,2021-03-03 22:41:42.0,N,Enterprise
45126737-4086-49a7-9175-beeeca7556c6,YourGuru,17018,0010Z000023GpBnQAK,2021-03-03 22:41:42.0,N,Enterprise
9ce03528-8dc2-4dfe-9bf4-73a9d53b8b4f,Medialink,100005,0010Z00001x2pyRQAQ,2021-03-03 22:41:42.0,N,Self
fd5d8df4-d3f3-4899-88bb-689be1f1d5cc,Inside Sales Professionals,17042,0010Z000029qJ4GQAU,2021-03-03 22:41:42.0,Y,Enterprise
5d368288-9ef3-4d10-b66e-ff6c70adbe83,SalesLoft,16005,NULL,2021-03-03 22:41:42.0,N,Enterprise
8e469f7e-d019-495f-a262-fc55211f356e,Dell,100079,0010Z00002AE5ieQAD,2021-03-03 22:41:42.0,Y,Intelligence
ef0ec85e-9fef-45aa-bb9c-93e47b6b447d,Berry Network,100113,0013r00002KgtIqAAJ,2021-03-03 22:41:42.0,Y,Intelligence
960cc6a6-14d5-4985-8767-46e0dc60210e,Adobe Systems Incorporated,100011,0010Z00001w4M2sQAE,2021-03-03 22:41:42.0,Y,Self
b7e6aac1-acb7-4dcc-8cd1-92a6745926d8,CORESTRENGTH,100051,0010Z0000279vI0QAI,2021-03-03 22:41:42.0,Y,Intelligence
5ea781b3-ed6f-43cd-a618-f8034d39c56a,Tricentis,100134,0013r00002WAb6vAAD,2021-03-03 22:41:42.0,Y,Intelligence
3f62ef68-e4d5-4796-a2ce-145f5c170513,"Monster Worldwide, Inc.",17031,0010Z000026xOO9QAM,2021-03-03 22:41:42.0,Y,Enterprise
c878710a-f69c-492d-a771-82675421ae51,B-Stock Solutions,100004,0013100001lhIZnAAM,2021-03-03 22:41:42.0,Y,Self
f8851b2b-4728-4c8c-859a-46df4c2f9200,Zer0Frixion,17032,0010Z000020KQzTQAW,2021-03-03 22:41:42.0,Y,Enterprise
3ff48efe-591f-4c20-8fc6-0d3aa62c8e20,Collective Intelligence,100078,0010Z00002AE4ufQAD,2021-03-03 22:41:42.0,Y,Intelligence
7072b41e-a435-4bc4-a8f7-984f74decbb5,Collective Intelligence,100033,0010Z000025cV37QAE,2021-03-03 22:41:42.0,Y,Intelligence
e5040ca8-906a-492c-a22d-4eafbb3ef414,Solela,100018,0010Z000023Gm6cQAC,2021-03-03 22:41:42.0,Y,Intelligence
ab4bd1f5-a407-45bc-9e85-863fccaf5941,Sales-I,100063,0010Z000029F87eQAC,2021-03-03 22:41:42.0,Y,Intelligence
fe8c642a-03c2-4724-bcf0-ed4716df0ec0,Collective[i],16002,0010Z00001wtzTSQAY,2021-03-03 22:41:42.0,Y,Enterprise
152cf1df-5236-4106-ae02-c89468569eb9,ADP,16001,001i000000YsDePAAV,2021-03-03 22:41:42.0,N,Enterprise
