revenue_date,revenue,dw_cid,pred_date
2020-07-19,917.8514992542632,17048,2020-02-14
2020-07-20,917.8514992542632,17048,2020-02-14
2020-07-21,917.8514992542632,17048,2020-02-14
2020-07-22,917.8514992542632,17048,2020-02-14
2020-07-23,917.8514992542632,17048,2020-02-14
2020-07-24,917.8514992542632,17048,2020-02-14
2020-07-25,917.8514992542632,17048,2020-02-14
2020-07-26,917.8514992542632,17048,2020-02-14
2020-07-27,917.8514992542632,17048,2020-02-14
2020-07-28,917.8514992542632,17048,2020-02-14
2020-07-29,917.8514992542632,17048,2020-02-14
2020-07-30,917.8514992542632,17048,2020-02-14
2020-07-31,917.8514992542632,17048,2020-02-14
2020-08-01,18754.33921089595,17048,2020-02-14
2020-08-02,18754.33921089595,17048,2020-02-14
2020-08-03,18754.33921089595,17048,2020-02-14
2020-08-04,18754.33921089595,17048,2020-02-14
2020-08-05,18754.33921089595,17048,2020-02-14
2020-08-06,18754.33921089595,17048,2020-02-14
2020-08-07,18754.33921089595,17048,2020-02-14
2020-08-08,18754.33921089595,17048,2020-02-14
2020-08-09,18754.33921089595,17048,2020-02-14
2020-08-10,18754.33921089595,17048,2020-02-14
2020-08-11,18754.33921089595,17048,2020-02-14
2020-08-12,18754.33921089595,17048,2020-02-14
2020-08-13,18754.33921089595,17048,2020-02-14
2020-08-14,18754.33921089595,17048,2020-02-14
2020-08-15,18754.33921089595,17048,2020-02-14
2020-08-16,18754.33921089595,17048,2020-02-14
2020-08-17,18754.33921089595,17048,2020-02-14
2020-08-18,18754.33921089595,17048,2020-02-14
2020-08-19,18754.33921089595,17048,2020-02-14
2020-08-20,18754.33921089595,17048,2020-02-14
2020-08-21,18754.33921089595,17048,2020-02-14
2020-08-22,18754.33921089595,17048,2020-02-14
2020-08-23,18754.33921089595,17048,2020-02-14
2020-08-24,18754.33921089595,17048,2020-02-14
2020-08-25,18754.33921089595,17048,2020-02-14
2020-08-26,18754.33921089595,17048,2020-02-14
2020-08-27,18754.33921089595,17048,2020-02-14
2020-08-28,18754.33921089595,17048,2020-02-14
2020-08-29,18754.33921089595,17048,2020-02-14
2020-08-30,18754.33921089595,17048,2020-02-14
2020-08-31,18754.33921089595,17048,2020-02-14
2020-09-01,31742.54855071402,17048,2020-02-14
2020-09-02,31742.54855071402,17048,2020-02-14
2020-09-03,31742.54855071402,17048,2020-02-14
2020-09-04,31742.54855071402,17048,2020-02-14
2020-09-05,31742.54855071402,17048,2020-02-14
2020-09-06,31742.54855071402,17048,2020-02-14
2020-09-07,31742.54855071402,17048,2020-02-14
2020-09-08,31742.54855071402,17048,2020-02-14
2020-09-09,31742.54855071402,17048,2020-02-14
2020-09-10,31742.54855071402,17048,2020-02-14
2020-09-11,31742.54855071402,17048,2020-02-14
2020-09-12,31742.54855071402,17048,2020-02-14
2020-09-13,31742.54855071402,17048,2020-02-14
2020-09-14,31742.54855071402,17048,2020-02-14
2020-09-15,31742.54855071402,17048,2020-02-14
2020-09-16,31742.54855071402,17048,2020-02-14
2020-09-17,31742.54855071402,17048,2020-02-14
2020-09-18,31742.54855071402,17048,2020-02-14
2020-09-19,31742.54855071402,17048,2020-02-14
2020-09-20,31742.54855071402,17048,2020-02-14
2020-09-21,31742.54855071402,17048,2020-02-14
2020-09-22,31742.54855071402,17048,2020-02-14
